id,name,ingredients,preparing time,instructions,difficulty level,category,rating
6aa5d9,egg sandwich,egg; tost; cheese; salt; black pepper,10,break the egg into the ban; add salt on the egg; add cheese on the tost; add the egg on the tost,Easy,Breakfast,2.5
3c2851,pasta,pasta; water; milk; cheese; tomato paste; oil; salt; broccoli; carrot,30,boil the pasta on the water; in another pan mix the other ingredients together; add the pasta on the mixture,Medium,Dinner,4.0
5b0334,machboose,rise; chicken; spices; potato,75,boil chicken with water and spices; boil the rise in the water; mix everything,Hard,Lunch,5.0
5e292e,chia seed boding,chia seeds; milk; mango; yogurt; blueberry; nuts; rose water; saffron,120,add chia seed to milk and yogurt; cut the fruits; crush nuts; add the rose water and saffron to the milk; mix everything and keep in the fridge min 120 min,Easy,Dessert,0.0
02621a,cesser salad,lettuce; Parmesan cheese; Caesar dressing; Grilled chicken,20,Wash and chop the lettuce; add parmesan; Pour in the Caesar dressing; toss well; Top with grilled chicken,Easy,Dinner,0.0
1cca8b,Pancakes,flour; egg; milk; sugar; baking powder; oil; syrup,20,mix all ingredients; Heat a lightly greased pan; pour the batter into the pan; cook until bubbles appear then flip; serve with syrup,Medium,Dessert,3.5
ec7ca2,fruit smoothie,banana; berries; milk; honey; ice,10,add all the ingredients to a blender; blend until smooth; pour into a glass,Easy,Dessert,4.0
70e6bc,avocado toast,toast; avocado; salt; black pepper; cherry tomatoes,7,toast the bread; mash the avocado; spread it on the toast; season with salt and pepper; add tomatoes,Easy,Breakfast,3.9
b793b8,baked salmon,salmon; potatoes; olive oil; salt; black pepper; lemon,45,slice the potatoes; place the potatoes and salmon on a pan; drizzle with olive oil; bake until fully cooked; add on top the lemon slices,Medium,Lunch,0.0
abcf4f,mrabyan,oil; onion; garlic; black lemon; shrimp; ginger; tomato paste; lemon; dill; coriander; rice; salt; pepper; magi; cardamom powder; turmeric powder,60,"heat up oil; sautee onions with a bit of salt; add shrimp and garlic and ginger and stir for 5 mins; add spices (mixed); add tomato paste and stir for 5 mins; add black lemon, lemon, and lemon zest; add coriander and dill; simmer with a bit of water for 10 mins; add rice and enough water to cook rice",Hard,Lunch,0.0
6166b7,turkey sandwich,smoked turkey; mayo; lettuce; tomato; avocado; egg,10,cut the vegs; spread the mayo on the bread; add the rest of the items to the sandwich,Easy,Breakfast,0.0
